Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
972.5556,0.0,1788.5556,0,0,17.166350913607847,0.0,0.0,816.0,0.8,0.15
960.13507,0.0,1776.1351,0,0,17.20786294343281,0.0,0.0,816.0,0.79716111,0.15
947.71455,0.0,1763.7145,0,0,17.249374973257776,0.0,0.0,816.0,0.79432224,0.15
935.29402,0.0,1751.294,0,0,17.290887003082744,0.0,0.0,816.0,0.79148339,0.15
922.8735,0.0,1738.8735,0,0,17.33239903290771,0.0,0.0,816.0,0.78864456,0.15
910.45297,0.0,1726.453,0,0,17.373911062732674,0.0,0.0,816.0,0.78580575,0.15
898.03245,0.0,1714.0324,0,0,17.41542309255764,0.0,0.0,816.0,0.78296696,0.15
885.61192,0.0,1701.6119,0,0,17.456935122382603,0.0,0.0,816.0,0.78012819,0.15
873.1914,0.0,1689.1914,0,0,17.498447152207568,0.0,0.0,816.0,0.77728944,0.15
860.77087,0.0,1676.7709,0,0,17.539959182032533,0.0,0.0,816.0,0.77445071,0.15
848.35035,0.0,1664.3503,0,0,17.5814712118575,0.0,0.0,816.0,0.771612,0.15
835.92982,0.0,1651.9298,0,0,17.622983241682466,0.0,0.0,816.0,0.76877331,0.15
823.5093,0.0,1639.5093,0,0,17.66449527150743,0.0,0.0,816.0,0.76593463,0.15
761.40668,0.0,1577.4067,0,0,17.687908628511504,0.0,0.0,816.0,0.76309598,0.15
699.30405,0.0,1515.304,0,0,17.711321985515582,0.0,0.0,816.0,0.76025735,0.15
637.20143,0.0,1453.2014,0,0,17.734735342519656,0.0,0.0,816.0,0.75741874,0.15
575.0988,0.0,1391.0988,0,0,17.758148699523733,0.0,0.0,816.0,0.75458014,0.15
512.99617,0.0,1328.9962,0,0,17.781562056527807,0.0,0.0,816.0,0.75174157,0.15
450.89355,0.0,1266.8935,0,0,17.804975413531885,0.0,0.0,816.0,0.74890302,0.15
388.79092,0.0,1204.7909,0,0,17.82838877053596,0.0,0.0,816.0,0.74606448,0.15
326.6883,0.0,1142.6883,0,0,17.851802127540033,0.0,0.0,816.0,0.74322597,0.15
264.58567,0.0,1080.5857,0,0,17.87521548454411,0.0,0.0,816.0,0.74038747,0.15
202.48305,0.0,1018.483,0,0,17.898628841548184,0.0,0.0,816.0,0.737549,0.15
140.38042,0.0,956.38042,0,0,17.922042198552262,0.0,0.0,816.0,0.73471054,0.15
78.2778,0.0,894.2778,0,0,17.945455555556336,0.0,0.0,816.0,0.73187211,0.15
41.016225,0.0,857.01622,0,0,17.948861807655422,0.0,0.0,816.0,0.72903369,0.15
3.75465,0.0,819.75465,0,0,17.952268059754505,0.0,0.0,816.0,0.7261953,0.15
