Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
6469.1628,0.0,7285.1628,0,0,17.166350913607847,0.0,0.0,816.0,0.8,0.15
6418.5714,0.0,7234.5714,0,0,17.20786294343281,0.0,0.0,816.0,0.79716111,0.15
6367.98,0.0,7183.98,0,0,17.249374973257776,0.0,0.0,816.0,0.79432224,0.15
6317.3886,0.0,7133.3886,0,0,17.290887003082744,0.0,0.0,816.0,0.79148339,0.15
6266.7972,0.0,7082.7972,0,0,17.33239903290771,0.0,0.0,816.0,0.78864456,0.15
6216.2058,0.0,7032.2058,0,0,17.373911062732674,0.0,0.0,816.0,0.78580575,0.15
6165.6143,0.0,6981.6143,0,0,17.41542309255764,0.0,0.0,816.0,0.78296696,0.15
6115.0229,0.0,6931.0229,0,0,17.456935122382603,0.0,0.0,816.0,0.78012819,0.15
6064.4315,0.0,6880.4315,0,0,17.498447152207568,0.0,0.0,816.0,0.77728944,0.15
6013.8401,0.0,6829.8401,0,0,17.539959182032533,0.0,0.0,816.0,0.77445071,0.15
5963.2487,0.0,6779.2487,0,0,17.5814712118575,0.0,0.0,816.0,0.771612,0.15
5912.6573,0.0,6728.6573,0,0,17.622983241682466,0.0,0.0,816.0,0.76877331,0.15
5862.0659,0.0,6678.0659,0,0,17.66449527150743,0.0,0.0,816.0,0.76593463,0.15
5609.1089,0.0,6425.1089,0,0,17.687908628511504,0.0,0.0,816.0,0.76309598,0.15
5356.1518,0.0,6172.1518,0,0,17.711321985515582,0.0,0.0,816.0,0.76025735,0.15
5103.1948,0.0,5919.1948,0,0,17.734735342519656,0.0,0.0,816.0,0.75741874,0.15
4850.2377,0.0,5666.2377,0,0,17.758148699523733,0.0,0.0,816.0,0.75458014,0.15
4597.2807,0.0,5413.2807,0,0,17.781562056527807,0.0,0.0,816.0,0.75174157,0.15
4344.3237,0.0,5160.3237,0,0,17.804975413531885,0.0,0.0,816.0,0.74890302,0.15
4091.3666,0.0,4907.3666,0,0,17.82838877053596,0.0,0.0,816.0,0.74606448,0.15
3838.4096,0.0,4654.4096,0,0,17.851802127540033,0.0,0.0,816.0,0.74322597,0.15
3585.4525,0.0,4401.4525,0,0,17.87521548454411,0.0,0.0,816.0,0.74038747,0.15
3332.4955,0.0,4148.4955,0,0,17.898628841548184,0.0,0.0,816.0,0.737549,0.15
3079.5384,0.0,3895.5384,0,0,17.922042198552262,0.0,0.0,816.0,0.73471054,0.15
2826.5814,0.0,3642.5814,0,0,17.945455555556336,0.0,0.0,816.0,0.73187211,0.15
2674.8072,0.0,3490.8072,0,0,17.948861807655422,0.0,0.0,816.0,0.72903369,0.15
2523.033,0.0,3339.0329,0,0,17.952268059754505,0.0,0.0,816.0,0.7261953,0.15
2371.2587,0.0,3187.2587,0,0,17.955674311853592,0.0,0.0,816.0,0.72335692,0.15
2219.4845,0.0,3035.4845,0,0,17.959080563952675,0.0,0.0,816.0,0.72051856,0.15
2067.7103,0.0,2883.7103,0,0,17.96248681605176,0.0,0.0,816.0,0.71768023,0.15
1915.9361,0.0,2731.9361,0,0,17.965893068150848,0.0,0.0,816.0,0.71484191,0.15
1764.1618,0.0,2580.1618,0,0,17.96929932024993,0.0,0.0,816.0,0.71200361,0.15
1612.3876,0.0,2428.3876,0,0,17.972705572349017,0.0,0.0,816.0,0.70916533,0.15
1460.6134,0.0,2276.6134,0,0,17.9761118244481,0.0,0.0,816.0,0.70632708,0.15
1308.8392,0.0,2124.8391,0,0,17.979518076547187,0.0,0.0,816.0,0.70348884,0.15
1157.0649,0.0,1973.0649,0,0,17.98292432864627,0.0,0.0,816.0,0.70065062,0.15
1005.2907,0.0,1821.2907,0,0,17.986330580745356,0.0,0.0,816.0,0.69781242,0.15
853.51648,0.0,1669.5165,0,0,17.969452082971625,0.0,0.0,816.0,0.69497424,0.15
701.74225,0.0,1517.7422,0,0,17.952573585197893,0.0,0.0,816.0,0.69213608,0.15
549.96803,0.0,1365.968,0,0,17.93569508742416,0.0,0.0,816.0,0.68929794,0.15
398.1938,0.0,1214.1938,0,0,17.91881658965043,0.0,0.0,816.0,0.68645982,0.15
246.41958,0.0,1062.4196,0,0,17.901938091876698,0.0,0.0,816.0,0.68362172,0.15
94.64535,0.0,910.64535,0,0,17.88505959410297,0.0,0.0,816.0,0.68078364,0.15
0.0,0.0,758.87113,0,0,17.868181096329238,0.0,0.0,816.0,0.67794558,0.15
0.0,0.0,607.0969,0,0,17.851302598555506,0.0,0.0,607.0969,0.67510754,0.15
0.0,0.0,455.32268,0,0,17.834424100781774,0.0,0.0,455.32267,0.67299487,0.15
0.0,0.0,303.54845,0,0,17.817545603008043,0.0,0.0,672.0,0.67140922,0.15
0.0,0.0,151.77423,0,0,17.80066710523431,0.0,0.0,816.0,0.66907122,0.15
0.0,0.0,0.0,0,0,17.78378860746058,0.0,0.0,480.0,0.66623324,0.15
44.053942,0.0,860.05394,0,0,17.748001132907774,0.0,0.0,816.0,0.66456195,0.15
904.10788,0.0,1720.1079,0,0,17.712213658354973,0.0,0.0,816.0,0.661724,0.15
1764.1618,0.0,2580.1618,0,0,17.67642618380217,0.0,0.0,816.0,0.65888607,0.15
2624.2158,0.0,3440.2158,0,0,17.640638709249366,0.0,0.0,816.0,0.65604816,0.15
3484.2697,0.0,4300.2697,0,0,17.60485123469656,0.0,0.0,816.0,0.65321027,0.15
4344.3237,0.0,5160.3237,0,0,17.56906376014376,0.0,0.0,816.0,0.6503724,0.15
5204.3776,0.0,6020.3776,0,0,17.533276285590958,0.0,0.0,816.0,0.64753456,0.15
6064.4315,0.0,6880.4315,0,0,17.497488811038153,0.0,0.0,816.0,0.64469672,0.15
6924.4855,0.0,7740.4855,0,0,17.461701336485348,0.0,0.0,816.0,0.64185891,0.15
7784.5394,0.0,8600.5394,0,0,17.425913861932546,0.0,0.0,816.0,0.63902112,0.15
