Unnamed: 0,Scenario,L1,Utilization L1,Emission L1,L2,Utilization L2,Emission L2,L3,Utilization L3,Emission L3,AC L1,DAC L1,Annual L1,AC L2,DAC L2,Annual L2,AC L3,DAC L3,Annual L3
0,Scenario 1,1,0,0,1,0,0,1,0,0,800,800,800,6500,6500,6500,75000,75000,75000
1,Scenario 1,1,6,719,1,4,694,1,4,335,800,800,0,6500,6500,0,75000,75000,0
2,Scenario 1,1,74,10208,1,45,9850,1,45,8616,800,800,0,6500,6500,0,75000,75000,0
3,Scenario 1,3,101,31396,2,100,25246,1,100,27877,800,800,0,6500,6500,0,75000,75000,0
4,Scenario 1,6,100,80916,3,100,52760,1,100,62906,880,856,80,6825,6727,325,75000,75000,0
5,Scenario 1,12,101,159514,5,101,97023,1,101,107086,1000,933,120,7150,6934,325,75000,75000,0
6,Scenario 1,19,100,260654,7,100,151116,2,100,177595,1240,1099,240,7800,7382,650,75000,75000,0
7,Scenario 1,30,101,413664,11,100,232641,2,100,286501,1520,1281,280,8450,7804,650,78750,77430,3750
8,Scenario 1,43,100,594060,16,100,333700,3,100,407744,1960,1549,440,9750,8596,1300,78750,77430,0
9,Scenario 1,59,100,804889,21,100,447102,4,100,548082,2480,1847,520,11375,9526,1625,82500,79576,3750
10,Scenario 1,78,100,1071217,27,100,591888,5,100,721430,3440,2364,960,21125,14770,9750,105000,91676,22500
11,Scenario 1,101,100,1392451,35,100,764883,6,100,936719,4200,2749,760,23075,15756,1950,108750,93572,3750
12,Scenario 1,130,100,1797684,45,100,981307,8,100,1211363,5120,3187,920,25675,16992,2600,112500,95354,3750
13,Scenario 1,166,100,2288098,57,100,1249114,10,100,1536270,6280,3705,1160,28925,18443,3250,120000,98703,7500
14,Scenario 1,205,101,2837355,71,100,1557095,12,100,1891887,7720,4310,1440,32825,20080,3900,127500,101850,7500
15,Scenario 1,255,100,3534020,89,101,1935365,15,101,2347569,9280,4926,1560,37375,21875,4550,135000,104808,7500
16,Scenario 1,316,101,4376977,110,100,2410780,19,100,2880829,11280,5668,2000,43225,24044,5850,146250,108978,11250
17,Scenario 1,387,100,5365073,135,101,2961481,23,101,3526148,13720,6518,2440,50050,26422,6825,161250,114203,15000
18,Scenario 1,469,100,6499110,165,100,3605147,27,100,4267443,16560,7448,2840,58175,29082,8125,176250,119114,15000
19,Scenario 1,561,100,7771560,198,100,4331927,33,100,5133212,19840,8458,3280,67925,32082,9750,191250,123730,15000
20,Scenario 1,664,100,9203093,235,100,5147033,39,100,6097903,25360,10055,5520,132275,50691,64350,326250,162770,135000
21,Scenario 1,781,100,10824346,276,101,6044543,46,101,7211050,29480,11175,4120,144300,53960,12025,348750,168886,22500
22,Scenario 1,912,101,12629797,321,100,7043093,53,100,8468203,34160,12371,4680,157625,57364,13325,375000,175592,26250
23,Scenario 1,1056,100,14629061,371,100,8137153,62,100,9871708,39400,13629,5240,172250,60876,14625,401250,181894,26250
24,Scenario 1,1216,100,16851811,427,100,9372597,72,100,11416031,45160,14929,5760,188500,64543,16250,435000,189510,33750
25,Scenario 1,1389,100,19242992,487,100,10692119,82,100,13092563,51560,16287,6400,206700,68403,18200,472500,197463,37500
26,Scenario 1,1574,100,21811555,551,100,12106580,94,100,14884669,58480,19117,6920,226200,76376,19500,510000,212795,37500
27,Scenario 1,1773,100,24568466,621,100,13634983,106,100,16808131,65880,22041,7400,247000,84593,20800,555000,230571,45000
28,Scenario 1,1993,100,27625013,697,100,15312871,119,100,18914435,73840,25079,7960,269750,93276,22750,600000,247746,45000
29,Scenario 1,2229,100,30900068,778,100,17095423,133,100,21133482,82640,28324,8800,294450,102385,24700,648750,265723,48750
30,Scenario 1,2485,101,34437281,866,101,19018481,148,101,23523818,96800,33369,14160,452400,158660,157950,963750,377951,315000
